id,soc_rub_id,name
1,153,"ГИБДД"
2,40,"Комендатура"
3,40,"Комиссариат"
4,7,"БТИ"
5,7,"Ростехинвентаризация"
6,86,"Институт"
7,86,"Университет"
8,137,"ГНК"
9,103,"МЧС"
10,103,"Поисково-спасательный отряд"
11,103,"Спасательные службы"
12,41,"Бытовые службы"
13,41,"Защита от грызунов"
14,41,"Дезинсекция"
15,41,"Дератизация"
16,41,"Услуги по дезинфекции"
17,41,"Уничтожение грызунов, насекомых"
18,156,"Детский приют"
19,156,"Дом ребенка"
20,156,"Приют"
21,76,"Лагерь отдыха"
22,77,"Ясли"
23,66,"Дворец культуры"
24,148,"Дом престарелых"
25,78,"Курсы"
26,78,"Повышение квалификации"
27,132,"Вокзал"
28,132,"Железнодорожная станция"
29,164,"ЖКХ"
30,164,"Управляющие компании"
31,30,"Аварийные службы"
32,30,"Бытовые службы"
33,135,"Роспотребнадзор"
34,56,"Контрольные органы"
35,56,"Надзорные органы"
36,56,"Службы по надзору"
37,79,"Специализированная школа"
38,79,"Школа-интернат"
39,142,"Творческие коллективы"
40,17,"Дума"
41,140,"Посольство"
42,69,"Филармония"
43,44,"Диагностика"
44,9,"Гидрометцентр"
45,158,"Паспортный стол"
46,126,"Морской порт"
47,157,"Научно-исследовательские центры"
48,157,"Научные институты"
49,87,"Благотворительные фонды"
50,87,"Общественные организации"
51,108,"Ассоциация инвалидов"
52,47,"Медицинское страхование"
53,11,"Росприроднадзор"
54,50,"Санатории"
55,159,"Пожарная сигнализация"
56,159,"Системы пожарной безопасности"
57,162,"Телеграф"
58,129,"Защита прав"
59,97,"Полиция"
60,55,"Центры реабилитации"
61,89,"Монастыри"
62,89,"Церкви"
63,121,"Судебные приставы"
64,81,"Профессиональное образование"
65,161,"Дома творчества"
